size,range,mutations,continuation,tsp type,distribution,mutation strategy
20,[0.2],100,,symmetric,lognormal,random_sampling
20,[0.4],100,,symmetric,lognormal,random_sampling
20,[0.6],100,,symmetric,lognormal,random_sampling
20,[0.8],100,,symmetric,lognormal,random_sampling
20,[1.0],100,,symmetric,lognormal,random_sampling
20,[1.2],100,,symmetric,lognormal,random_sampling
20,[1.4],100,,symmetric,lognormal,random_sampling
20,[1.6],100,,symmetric,lognormal,random_sampling
20,[1.8],100,,symmetric,lognormal,random_sampling
20,[2.0],100,,symmetric,lognormal,random_sampling
20,[2.2],100,,symmetric,lognormal,random_sampling
20,[2.4],100,,symmetric,lognormal,random_sampling
20,[2.6],100,,symmetric,lognormal,random_sampling
20,[2.8],100,,symmetric,lognormal,random_sampling
20,[3.0],100,,symmetric,lognormal,random_sampling
20,[3.2],100,,symmetric,lognormal,random_sampling
20,[3.4],100,,symmetric,lognormal,random_sampling
20,[3.6],100,,symmetric,lognormal,random_sampling
20,[3.8],100,,symmetric,lognormal,random_sampling
20,[4.0],100,,symmetric,lognormal,random_sampling
20,[4.2],100,,symmetric,lognormal,random_sampling
20,[4.4],100,,symmetric,lognormal,random_sampling
20,[4.6],100,,symmetric,lognormal,random_sampling
20,[4.8],100,,symmetric,lognormal,random_sampling
20,[5.0],100,,symmetric,lognormal,random_sampling
30,[0.2],100,,symmetric,lognormal,random_sampling
30,[0.4],100,,symmetric,lognormal,random_sampling
30,[0.6],100,,symmetric,lognormal,random_sampling
30,[0.8],100,,symmetric,lognormal,random_sampling
30,[1.0],100,,symmetric,lognormal,random_sampling
30,[1.2],100,,symmetric,lognormal,random_sampling
30,[1.4],100,,symmetric,lognormal,random_sampling
30,[1.6],100,,symmetric,lognormal,random_sampling
30,[1.8],100,,symmetric,lognormal,random_sampling
30,[2.0],100,,symmetric,lognormal,random_sampling
30,[2.2],100,,symmetric,lognormal,random_sampling
30,[2.4],100,,symmetric,lognormal,random_sampling
30,[2.6],100,,symmetric,lognormal,random_sampling
30,[2.8],100,,symmetric,lognormal,random_sampling
30,[3.0],100,,symmetric,lognormal,random_sampling
30,[3.2],100,,symmetric,lognormal,random_sampling
30,[3.4],100,,symmetric,lognormal,random_sampling
30,[3.6],100,,symmetric,lognormal,random_sampling
30,[3.8],100,,symmetric,lognormal,random_sampling
30,[4.0],100,,symmetric,lognormal,random_sampling
30,[4.2],100,,symmetric,lognormal,random_sampling
30,[4.4],100,,symmetric,lognormal,random_sampling
30,[4.6],100,,symmetric,lognormal,random_sampling
30,[4.8],100,,symmetric,lognormal,random_sampling
30,[5.0],100,,symmetric,lognormal,random_sampling
20,[5],100,,symmetric,uniform,random_sampling
20,[10],100,,symmetric,uniform,random_sampling
20,[15],100,,symmetric,uniform,random_sampling
20,[20],100,,symmetric,uniform,random_sampling
20,[25],100,,symmetric,uniform,random_sampling
20,[30],100,,symmetric,uniform,random_sampling
20,[35],100,,symmetric,uniform,random_sampling
20,[40],100,,symmetric,uniform,random_sampling
20,[45],100,,symmetric,uniform,random_sampling
20,[50],100,,symmetric,uniform,random_sampling
20,[55],100,,symmetric,uniform,random_sampling
20,[60],100,,symmetric,uniform,random_sampling
20,[65],100,,symmetric,uniform,random_sampling
20,[70],100,,symmetric,uniform,random_sampling
20,[75],100,,symmetric,uniform,random_sampling
20,[80],100,,symmetric,uniform,random_sampling
20,[85],100,,symmetric,uniform,random_sampling
20,[90],100,,symmetric,uniform,random_sampling
20,[95],100,,symmetric,uniform,random_sampling
20,[100],100,,symmetric,uniform,random_sampling
30,[5],100,,symmetric,uniform,random_sampling
30,[10],100,,symmetric,uniform,random_sampling
30,[15],100,,symmetric,uniform,random_sampling
30,[20],100,,symmetric,uniform,random_sampling
30,[25],100,,symmetric,uniform,random_sampling
30,[30],100,,symmetric,uniform,random_sampling
30,[35],100,,symmetric,uniform,random_sampling
30,[40],100,,symmetric,uniform,random_sampling
30,[45],100,,symmetric,uniform,random_sampling
30,[50],100,,symmetric,uniform,random_sampling
30,[55],100,,symmetric,uniform,random_sampling
30,[60],100,,symmetric,uniform,random_sampling
30,[65],100,,symmetric,uniform,random_sampling
30,[70],100,,symmetric,uniform,random_sampling
30,[75],100,,symmetric,uniform,random_sampling
30,[80],100,,symmetric,uniform,random_sampling
30,[85],100,,symmetric,uniform,random_sampling
30,[90],100,,symmetric,uniform,random_sampling
30,[95],100,,symmetric,uniform,random_sampling
30,[100],100,,symmetric,uniform,random_sampling
20,[0.2],100,,asymmetric,lognormal,random_sampling
20,[0.4],100,,asymmetric,lognormal,random_sampling
20,[0.6],100,,asymmetric,lognormal,random_sampling
20,[0.8],100,,asymmetric,lognormal,random_sampling
20,[1.0],100,,asymmetric,lognormal,random_sampling
20,[1.2],100,,asymmetric,lognormal,random_sampling
20,[1.4],100,,asymmetric,lognormal,random_sampling
20,[1.6],100,,asymmetric,lognormal,random_sampling
20,[1.8],100,,asymmetric,lognormal,random_sampling
20,[2.0],100,,asymmetric,lognormal,random_sampling
20,[2.2],100,,asymmetric,lognormal,random_sampling
20,[2.4],100,,asymmetric,lognormal,random_sampling
20,[2.6],100,,asymmetric,lognormal,random_sampling
20,[2.8],100,,asymmetric,lognormal,random_sampling
20,[3.0],100,,asymmetric,lognormal,random_sampling
20,[3.2],100,,asymmetric,lognormal,random_sampling
20,[3.4],100,,asymmetric,lognormal,random_sampling
20,[3.6],100,,asymmetric,lognormal,random_sampling
20,[3.8],100,,asymmetric,lognormal,random_sampling
20,[4.0],100,,asymmetric,lognormal,random_sampling
20,[4.2],100,,asymmetric,lognormal,random_sampling
20,[4.4],100,,asymmetric,lognormal,random_sampling
20,[4.6],100,,asymmetric,lognormal,random_sampling
20,[4.8],100,,asymmetric,lognormal,random_sampling
20,[5.0],100,,asymmetric,lognormal,random_sampling
30,[0.2],100,,asymmetric,lognormal,random_sampling
30,[0.4],100,,asymmetric,lognormal,random_sampling
30,[0.6],100,,asymmetric,lognormal,random_sampling
30,[0.8],100,,asymmetric,lognormal,random_sampling
30,[1.0],100,,asymmetric,lognormal,random_sampling
30,[1.2],100,,asymmetric,lognormal,random_sampling
30,[1.4],100,,asymmetric,lognormal,random_sampling
30,[1.6],100,,asymmetric,lognormal,random_sampling
30,[1.8],100,,asymmetric,lognormal,random_sampling
30,[2.0],100,,asymmetric,lognormal,random_sampling
30,[2.2],100,,asymmetric,lognormal,random_sampling
30,[2.4],100,,asymmetric,lognormal,random_sampling
30,[2.6],100,,asymmetric,lognormal,random_sampling
